epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3534.64,1.17733,0.65866,1.01973,0.85283,0.78366,0.85473,0.52809,1.37539,0.77694,1.1248,0.000198125,0.000198125,0.000198125
87,3575.43,1.17725,0.66243,1.02311,0.84914,0.78506,0.85352,0.52639,1.37779,0.77585,1.12499,0.00018575,0.00018575,0.00018575
88,3616.17,1.17727,0.65386,1.02106,0.84718,0.78562,0.85341,0.52754,1.37782,0.76957,1.12412,0.000173375,0.000173375,0.000173375
89,3656.94,1.17251,0.65395,1.01904,0.85659,0.78086,0.8554,0.5319,1.3741,0.76792,1.12243,0.000161,0.000161,0.000161
90,3697.81,1.168,0.65618,1.02035,0.85602,0.78101,0.85391,0.52764,1.37913,0.77486,1.12392,0.000148625,0.000148625,0.000148625
91,3754.84,1.1694,0.64971,1.02623,0.84243,0.78484,0.84835,0.51903,1.38733,0.78051,1.13071,0.00013625,0.00013625,0.00013625
92,3792.23,1.13742,0.60495,1.01201,0.84749,0.78749,0.8527,0.52359,1.38538,0.77358,1.12981,0.000123875,0.000123875,0.000123875
93,3829.75,1.12661,0.60111,1.01053,0.84125,0.79494,0.85358,0.52573,1.38023,0.76771,1.12921,0.0001115,0.0001115,0.0001115
94,3877.95,1.12391,0.59399,1.00813,0.84724,0.78411,0.85337,0.5262,1.38351,0.776,1.12933,9.9125e-05,9.9125e-05,9.9125e-05
95,3916.1,1.11757,0.58547,1.00543,0.84641,0.78766,0.85387,0.52746,1.38433,0.77274,1.1302,8.675e-05,8.675e-05,8.675e-05
96,3954.19,1.11408,0.58484,1.00543,0.84268,0.78998,0.85461,0.52792,1.37857,0.76933,1.12646,7.4375e-05,7.4375e-05,7.4375e-05
97,3992.78,1.10868,0.57532,1.00318,0.85405,0.78847,0.85628,0.52996,1.3774,0.76669,1.12665,6.2e-05,6.2e-05,6.2e-05
98,4031.22,1.10543,0.57406,1.00324,0.85227,0.79036,0.8556,0.52871,1.38215,0.76979,1.1273,4.9625e-05,4.9625e-05,4.9625e-05
99,4069.57,1.1014,0.57359,0.9986,0.85194,0.78876,0.85554,0.52819,1.37962,0.7671,1.12672,3.725e-05,3.725e-05,3.725e-05
100,4107.92,1.09894,0.56678,1.00285,0.84916,0.79339,0.85543,0.52996,1.37827,0.76761,1.12684,2.4875e-05,2.4875e-05,2.4875e-05
